# tools/reflection/global_ucas.py 1.0.0 -- root packages of MISERY/Content/Paks/global.ucas
# 394 root packages, 394 of them under /Script/.
# A root package is an entry whose OuterIndex is Null (PackageStoreOptimizer.cpp:987).
# Presence means the cook saw the module. It does NOT mean the shipped game loads it.
package	objects	classes_with_cdo	class_default_objects	members_of_classes	package_members_unclassified
/Script/LandscapeEditorUtilities	4	1	1	0	0
/Script/LevelEditor	44	7	7	23	6
/Script/LevelInstanceEditor	9	4	4	0	0
/Script/LevelSequence	95	14	14	40	13
/Script/LevelSequenceEditor	103	8	8	81	5
/Script/LightMixer	5	2	2	0	0
/Script/LinuxTargetPlatform	3	1	1	0	0
/Script/LiveCoding	4	1	1	0	1
/Script/LiveLinkInterface	77	16	16	0	44
/Script/LocalizableMessage	7	0	0	0	6
/Script/LocalizableMessageBlueprint	6	1	1	3	0
/Script/Localization	33	4	4	0	22
/Script/LocationServicesBPLibrary	15	2	2	7	3
/Script/MISERY	29	5	5	18	0
/Script/MRMesh	32	4	4	21	2
/Script/MacTargetPlatform	8	2	2	1	2
/Script/MaterialBaking	9	3	3	0	2
/Script/MaterialEditor	69	3	3	56	6
/Script/MaterialShaderQualitySettings	7	2	2	0	2
/Script/MaterialUtilities	2	0	0	0	1
/Script/MediaAssets	168	15	15	119	18
/Script/MediaCompositing	16	4	4	0	3
/Script/MediaCompositingEditor	8	2	2	0	3
/Script/MediaPlate	36	3	3	22	2
/Script/MediaPlateEditor	5	2	2	0	0
/Script/MediaPlayerEditor	23	10	10	1	1
/Script/MediaUtils	6	0	0	0	5
/Script/MegascansPlugin	26	5	5	1	14
/Script/MeshDescription	105	2	2	91	9
/Script/MeshLODToolset	67	17	17	10	22
/Script/MeshModelingTools	279	93	93	52	30
/Script/MeshModelingToolsEditorOnly	5	2	2	0	0
/Script/MeshModelingToolsEditorOnlyExp	223	83	83	28	27
/Script/MeshModelingToolsExp	723	265	265	86	104
/Script/MeshPaint	10	3	3	0	3
/Script/MeshPaintEditorMode	9	3	3	0	2
/Script/MeshPaintingToolset	49	20	20	0	8
/Script/MetaHumanProjectUtilities	3	1	1	0	0
/Script/MetasoundEditor	93	32	32	2	26
/Script/MetasoundEngine	166	15	15	120	15
/Script/MetasoundFrontend	66	3	3	16	43
/Script/MobilePatchingUtils	26	3	3	15	4
/Script/ModelingComponents	210	73	73	33	29
/Script/ModelingComponentsEditorOnly	39	17	17	0	4
/Script/ModelingOperators	30	4	4	0	21
/Script/ModelingOperatorsEditorOnly	16	5	5	0	5
/Script/ModelingToolsEditorMode	23	7	7	0	8
/Script/MoviePlayer	4	1	1	0	1
/Script/MovieScene	377	72	72	77	136
/Script/MovieSceneCapture	79	20	20	30	8
/Script/MovieSceneTools	45	15	15	3	10
/Script/MovieSceneTracks	525	157	157	63	71
/Script/NavigationSystem	143	40	40	32	19
/Script/NetCore	17	3	3	0	10
/Script/Niagara	1005	198	198	253	342
/Script/NiagaraAnimNotifies	11	3	3	3	1
/Script/NiagaraBlueprintNodes	7	3	3	0	0
/Script/NiagaraCore	8	2	2	0	3
/Script/NiagaraEditor	530	197	197	50	76
/Script/NiagaraShader	16	1	1	0	13
/Script/NiagaraSimCaching	12	2	2	0	5
/Script/NiagaraSimCachingEditor	3	1	1	0	0
/Script/ObjectMixerEditor	37	8	8	10	10
/Script/OnlineBlueprintSupport	25	12	12	0	0
/Script/OnlineSubsystem	11	2	2	2	4
/Script/OnlineSubsystemSteamCore	17	5	5	6	0
/Script/OnlineSubsystemUtils	174	43	43	56	31
/Script/OodleNetworkHandlerComponent	5	1	1	0	2
/Script/OptimizationTools	67	11	11	33	10
/Script/OptimizationToolsEditor	5	2	2	0	0
/Script/OutputLog	6	2	2	0	1
/Script/Overlay	8	3	3	0	1
/Script/OverlayEditor	9	4	4	0	0
/Script/PBIK	11	0	0	0	10
/Script/PIEPreviewDeviceProfileSelector	4	1	1	0	1
/Script/PIEPreviewDeviceSpecification	11	1	1	0	8
/Script/PacketHandler	5	2	2	0	0
/Script/Paper2D	148	23	23	67	21
/Script/Paper2DEditor	47	22	22	0	2
/Script/PaperSpriteSheetImporter	7	3	3	0	0
/Script/PaperTiledImporter	3	1	1	0	0
/Script/Persona	72	29	29	6	7
/Script/PhysicsCore	26	5	5	0	15
/Script/PhysicsUtilities	4	0	0	0	3
/Script/PinnedCommandList	6	1	1	0	3
/Script/PixelInspectorModule	3	1	1	0	0
/Script/PlasticSourceControl	3	1	1	0	0
/Script/PluginBrowser	9	2	2	2	2
/Script/ProceduralMeshComponent	30	2	2	21	4
/Script/PropertyAccessNode	3	1	1	0	0
/Script/PropertyEditor	33	4	4	20	4
/Script/PropertyPath	18	1	1	8	7
/Script/PythonScriptPlugin	122	23	23	62	13
/Script/RenderDocPlugin	3	1	1	0	0
/Script/Renderer	8	2	2	0	1
/Script/ResonanceAudio	33	6	6	13	6
/Script/ResonanceAudioEditor	5	2	2	0	0
/Script/RigVM	602	11	11	54	525
/Script/RigVMDeveloper	507	38	38	361	66
/Script/RigVMEditor	44	10	10	17	6
/Script/SIZZ_Menu_Wheel	39	5	5	26	2
/Script/SceneOutliner	10	3	3	0	3
/Script/ScriptableEditorWidgets	14	3	3	6	1
/Script/SequenceRecorder	28	8	8	3	8
/Script/Sequencer	43	13	13	3	12
/Script/SequencerAnimTools	13	6	6	0	0
/Script/SequencerCore	14	3	3	5	2
/Script/SequencerScripting	405	34	34	334	2
/Script/SequencerScriptingEditor	40	2	2	30	5
/Script/Serialization	13	0	0	0	12
/Script/SessionMessages	6	0	0	0	5
/Script/SignificanceManager	3	1	1	0	0
/Script/SkeletalMeshDescription	5	1	1	0	2
/Script/SkeletalMeshEditor	26	2	2	21	0
/Script/SkeletalMeshModelingTools	18	7	7	0	3
/Script/SkeletalMeshModifiers	42	2	2	32	5
/Script/Slate	56	13	13	0	29
