# tools/reflection/engine_split.py 1.0.0 -- authoritative UE 5.4.4 module name set at changelist 35576357 (++UE5+Release-5.4, research/unreal/engine-version.json), read from Engine/Source/**/*.Build.cs and Engine/Plugins/**/*.uplugin
# 1841 distinct names: 653 from Engine/Source (1:1 with 653 *.Build.cs files), 1188 distinct from Engine/Plugins (from 609 *.uplugin files' Modules[] arrays)
module_name	source_kind	evidence_file	evidence_line
AndroidPlatformEditor	build.cs	Engine/Source/Developer/Android/AndroidPlatformEditor/AndroidPlatformEditor.Build.cs	5
AndroidRuntimeSettings	build.cs	Engine/Source/Runtime/Android/AndroidRuntimeSettings/AndroidRuntimeSettings.Build.cs	5
AndroidTargetPlatform	build.cs	Engine/Source/Developer/Android/AndroidTargetPlatform/AndroidTargetPlatform.Build.cs	5
AndroidTargetPlatformControls	build.cs	Engine/Source/Developer/Android/AndroidTargetPlatformControls/AndroidTargetPlatformControls.Build.cs	5
AndroidTargetPlatformSettings	build.cs	Engine/Source/Developer/Android/AndroidTargetPlatformSettings/AndroidTargetPlatformSettings.Build.cs	5
AnimGraph	build.cs	Engine/Source/Editor/AnimGraph/AnimGraph.Build.cs	6
AnimGraphRuntime	build.cs	Engine/Source/Runtime/AnimGraphRuntime/AnimGraphRuntime.Build.cs	6
AnimNext	uplugin	Engine/Plugins/Experimental/AnimNext/AnimNext.uplugin	40
AnimNextEditor	uplugin	Engine/Plugins/Experimental/AnimNext/AnimNext.uplugin	45
AnimNextTestSuite	uplugin	Engine/Plugins/Experimental/AnimNext/AnimNext.uplugin	55
AnimNextUncookedOnly	uplugin	Engine/Plugins/Experimental/AnimNext/AnimNext.uplugin	50
AnimToTexture	uplugin	Engine/Plugins/Experimental/AnimToTexture/AnimToTexture.uplugin	19
AnimToTextureEditor	uplugin	Engine/Plugins/Experimental/AnimToTexture/AnimToTexture.uplugin	24
AnimationBlueprintEditor	build.cs	Engine/Source/Editor/AnimationBlueprintEditor/AnimationBlueprintEditor.Build.cs	5
AnimationBlueprintLibrary	build.cs	Engine/Source/Editor/AnimationBlueprintLibrary/AnimationBlueprintLibrary.build.cs	5
AnimationBudgetAllocator	uplugin	Engine/Plugins/Runtime/AnimationBudgetAllocator/AnimationBudgetAllocator.uplugin	19
AnimationCore	build.cs	Engine/Source/Runtime/AnimationCore/AnimationCore.Build.cs	5
AnimationData	uplugin	Engine/Plugins/Animation/AnimationData/AnimationData.uplugin	20
AnimationDataController	build.cs	Engine/Source/Developer/AnimationDataController/AnimationDataController.build.cs	5
AnimationEditMode	build.cs	Engine/Source/Editor/AnimationEditMode/AnimationEditMode.Build.cs	5
AnimationEditor	build.cs	Engine/Source/Editor/AnimationEditor/AnimationEditor.Build.cs	5
AnimationEditorWidgets	build.cs	Engine/Source/Editor/AnimationEditorWidgets/AnimationEditorWidgets.Build.cs	5
AnimationLocomotionLibraryEditor	uplugin	Engine/Plugins/Animation/AnimationLocomotionLibrary/AnimationLocomotionLibrary.uplugin	25
AnimationLocomotionLibraryRuntime	uplugin	Engine/Plugins/Animation/AnimationLocomotionLibrary/AnimationLocomotionLibrary.uplugin	20
