# tools/reflection/engine_split.py 1.0.0 -- engine/game classification of the 394 /Script/<Module> root packages RF-01 found in MISERY/Content/Paks/global.ucas
# counts: {"collision": 0, "engine": 385, "game-misery": 1, "game-plugin": 4, "unclassified": 4}
# Rule: see this tool's module docstring, or $.rule in engine-split.json. 'unclassified' is reported, never guessed into another bucket.
package	category	matched_name	evidence_kind	evidence_file	evidence_line
/Script/FieldNotification	engine	FieldNotification	build.cs	Engine/Source/Runtime/FieldNotification/FieldNotification.Build.cs	5
/Script/FieldSystemEngine	engine	FieldSystemEngine	build.cs	Engine/Source/Runtime/Experimental/FieldSystem/Source/FieldSystemEngine/FieldSystemEngine.Build.cs	5
/Script/Foliage	engine	Foliage	build.cs	Engine/Source/Runtime/Foliage/Foliage.Build.cs	5
/Script/FoliageEdit	engine	FoliageEdit	build.cs	Engine/Source/Editor/FoliageEdit/FoliageEdit.build.cs	5
/Script/FractureEditor	engine	FractureEditor	uplugin	Engine/Plugins/Experimental/ChaosEditor/ChaosEditor.uplugin	19
/Script/FractureEngine	engine	FractureEngine	uplugin	Engine/Plugins/Experimental/Fracture/Fracture.uplugin	19
/Script/FullBodyIK	engine	FullBodyIK	uplugin	Engine/Plugins/Experimental/FullBodyIK/FullBodyIK.uplugin	25
/Script/FunctionalTesting	engine	FunctionalTesting	build.cs	Engine/Source/Developer/FunctionalTesting/FunctionalTesting.Build.cs	5
/Script/GLTFExporter	engine	GLTFExporter	uplugin	Engine/Plugins/Enterprise/GLTFExporter/GLTFExporter.uplugin	16
/Script/GameProjectGeneration	engine	GameProjectGeneration	build.cs	Engine/Source/Editor/GameProjectGeneration/GameProjectGeneration.Build.cs	5
/Script/GameplayCameras	engine	GameplayCameras	uplugin	Engine/Plugins/Cameras/GameplayCameras/GameplayCameras.uplugin	27
/Script/GameplayCamerasEditor	engine	GameplayCamerasEditor	uplugin	Engine/Plugins/Cameras/GameplayCameras/GameplayCameras.uplugin	32
/Script/GameplayDebugger	engine	GameplayDebugger	build.cs	Engine/Source/Runtime/GameplayDebugger/GameplayDebugger.Build.cs	5
/Script/GameplayTags	engine	GameplayTags	build.cs	Engine/Source/Runtime/GameplayTags/GameplayTags.Build.cs	5
/Script/GameplayTagsEditor	engine	GameplayTagsEditor	uplugin	Engine/Plugins/Editor/GameplayTagsEditor/GameplayTagsEditor.uplugin	20
/Script/GameplayTasks	engine	GameplayTasks	build.cs	Engine/Source/Runtime/GameplayTasks/GameplayTasks.Build.cs	5
/Script/GameplayTasksEditor	engine	GameplayTasksEditor	build.cs	Engine/Source/Editor/GameplayTasksEditor/GameplayTasksEditor.Build.cs	5
/Script/GeometryCache	engine	GeometryCache	uplugin	Engine/Plugins/Runtime/GeometryCache/GeometryCache.uplugin	53
/Script/GeometryCacheEd	engine	GeometryCacheEd	uplugin	Engine/Plugins/Runtime/GeometryCache/GeometryCache.uplugin	25
/Script/GeometryCacheStreamer	engine	GeometryCacheStreamer	uplugin	Engine/Plugins/Runtime/GeometryCache/GeometryCache.uplugin	43
/Script/GeometryCacheTracks	engine	GeometryCacheTracks	uplugin	Engine/Plugins/Runtime/GeometryCache/GeometryCache.uplugin	58
/Script/GeometryCollectionEditor	engine	GeometryCollectionEditor	uplugin	Engine/Plugins/Experimental/GeometryCollectionPlugin/GeometryCollectionPlugin.uplugin	19
/Script/GeometryCollectionEngine	engine	GeometryCollectionEngine	build.cs	Engine/Source/Runtime/Experimental/GeometryCollectionEngine/GeometryCollectionEngine.Build.cs	5
/Script/GeometryCollectionNodes	engine	GeometryCollectionNodes	uplugin	Engine/Plugins/Experimental/GeometryCollectionPlugin/GeometryCollectionPlugin.uplugin	34
/Script/GeometryCollectionTracks	engine	GeometryCollectionTracks	uplugin	Engine/Plugins/Experimental/GeometryCollectionPlugin/GeometryCollectionPlugin.uplugin	24
/Script/GeometryFramework	engine	GeometryFramework	build.cs	Engine/Source/Runtime/GeometryFramework/GeometryFramework.Build.cs	5
/Script/GeometryMode	engine	GeometryMode	uplugin	Engine/Plugins/Editor/GeometryMode/GeometryMode.uplugin	19
/Script/GooglePAD	engine	GooglePAD	uplugin	Engine/Plugins/Runtime/GooglePAD/GooglePAD.uplugin	20
/Script/GooglePADEditor	engine	GooglePADEditor	uplugin	Engine/Plugins/Runtime/GooglePAD/GooglePAD.uplugin	26
/Script/GraphEditor	engine	GraphEditor	build.cs	Engine/Source/Editor/GraphEditor/GraphEditor.Build.cs	5
/Script/HardwareTargeting	engine	HardwareTargeting	build.cs	Engine/Source/Editor/HardwareTargeting/HardwareTargeting.Build.cs	5
/Script/HeadMountedDisplay	engine	HeadMountedDisplay	build.cs	Engine/Source/Runtime/HeadMountedDisplay/HeadMountedDisplay.Build.cs	6
/Script/IKRig	engine	IKRig	uplugin	Engine/Plugins/Animation/IKRig/IKRig.uplugin	30
/Script/IKRigDeveloper	engine	IKRigDeveloper	uplugin	Engine/Plugins/Animation/IKRig/IKRig.uplugin	35
/Script/IKRigEditor	engine	IKRigEditor	uplugin	Engine/Plugins/Animation/IKRig/IKRig.uplugin	40
/Script/ImageCore	engine	ImageCore	build.cs	Engine/Source/Runtime/ImageCore/ImageCore.Build.cs	5
/Script/ImageWriteQueue	engine	ImageWriteQueue	build.cs	Engine/Source/Runtime/ImageWriteQueue/ImageWriteQueue.Build.cs	5
/Script/ImgMedia	engine	ImgMedia	uplugin	Engine/Plugins/Media/ImgMedia/ImgMedia.uplugin	20
/Script/ImgMediaEditor	engine	ImgMediaEditor	uplugin	Engine/Plugins/Media/ImgMedia/ImgMedia.uplugin	25
/Script/ImgMediaFactory	engine	ImgMediaFactory	uplugin	Engine/Plugins/Media/ImgMedia/ImgMedia.uplugin	35
/Script/InputBlueprintNodes	engine	InputBlueprintNodes	uplugin	Engine/Plugins/EnhancedInput/EnhancedInput.uplugin	24
/Script/InputCore	engine	InputCore	build.cs	Engine/Source/Runtime/InputCore/InputCore.Build.cs	5
/Script/InputEditor	engine	InputEditor	uplugin	Engine/Plugins/EnhancedInput/EnhancedInput.uplugin	29
/Script/InteractiveToolsFramework	engine	InteractiveToolsFramework	build.cs	Engine/Source/Runtime/InteractiveToolsFramework/InteractiveToolsFramework.Build.cs	5
/Script/InterchangeCommon	engine	InterchangeCommon	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	65
/Script/InterchangeCommonParser	engine	InterchangeCommonParser	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	70
/Script/InterchangeCore	engine	InterchangeCore	build.cs	Engine/Source/Runtime/Interchange/Core/InterchangeCore.Build.cs	5
/Script/InterchangeEditor	engine	InterchangeEditor	uplugin	Engine/Plugins/Interchange/Editor/InterchangeEditor.uplugin	24
/Script/InterchangeEditorPipelines	engine	InterchangeEditorPipelines	uplugin	Engine/Plugins/Interchange/Editor/InterchangeEditor.uplugin	33
/Script/InterchangeEditorUtilities	engine	InterchangeEditorUtilities	uplugin	Engine/Plugins/Interchange/Editor/InterchangeEditor.uplugin	42
/Script/InterchangeEngine	engine	InterchangeEngine	build.cs	Engine/Source/Runtime/Interchange/Engine/InterchangeEngine.Build.cs	5
/Script/InterchangeExport	engine	InterchangeExport	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	50
/Script/InterchangeFactoryNodes	engine	InterchangeFactoryNodes	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	35
/Script/InterchangeImport	engine	InterchangeImport	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	40
/Script/InterchangeMessages	engine	InterchangeMessages	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	45
/Script/InterchangeNodes	engine	InterchangeNodes	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	30
/Script/InterchangePipelines	engine	InterchangePipelines	uplugin	Engine/Plugins/Interchange/Runtime/Interchange.uplugin	55
/Script/InterchangeTestEditor	engine	InterchangeTestEditor	uplugin	Engine/Plugins/Tests/InterchangeTests/InterchangeTests.uplugin	25
/Script/InterchangeTests	engine	InterchangeTests	uplugin	Engine/Plugins/Tests/InterchangeTests/InterchangeTests.uplugin	20
/Script/InternationalizationSettings	engine	InternationalizationSettings	build.cs	Engine/Source/Editor/InternationalizationSettings/InternationalizationSettings.Build.cs	5
/Script/IrisCore	engine	IrisCore	build.cs	Engine/Source/Runtime/Experimental/Iris/Core/IrisCore.Build.cs	5
/Script/JsonUtilities	engine	JsonUtilities	build.cs	Engine/Source/Runtime/JsonUtilities/JsonUtilities.Build.cs	5
/Script/Kismet	engine	Kismet	build.cs	Engine/Source/Editor/Kismet/Kismet.Build.cs	5
/Script/KismetWidgets	engine	KismetWidgets	build.cs	Engine/Source/Editor/KismetWidgets/KismetWidgets.Build.cs	5
/Script/Landscape	engine	Landscape	build.cs	Engine/Source/Runtime/Landscape/Landscape.Build.cs	6
/Script/LandscapeEditor	engine	LandscapeEditor	build.cs	Engine/Source/Editor/LandscapeEditor/LandscapeEditor.Build.cs	5
/Script/LandscapeEditorUtilities	engine	LandscapeEditorUtilities	build.cs	Engine/Source/Editor/LandscapeEditorUtilities/LandscapeEditorUtilities.Build.cs	5
